Data,Temperatura (°C),Vendas de Sorvete (unidades)
2024-01-01,23.2,232
2024-01-02,26.4,252
2024-01-03,35.3,353
2024-01-04,26.6,254
2024-01-05,31.2,326
2024-01-06,19.2,181
2024-01-07,29.4,302
2024-01-08,21.6,200
2024-01-09,31.7,273
2024-01-10,25.4,220
2024-01-11,32.5,311
2024-01-12,25.2,271
2024-01-13,32.1,317
2024-01-14,30.2,282
2024-01-15,20.5,190
2024-01-16,25.7,257
2024-01-17,35.8,349
2024-01-18,21.3,218
2024-01-19,25.8,252
2024-01-20,36.1,368
2024-01-21,25.2,254
2024-01-22,32.6,306
2024-01-23,37.7,378
2024-01-24,31.8,321
2024-01-25,23.1,236
2024-01-26,24.6,257
2024-01-27,32.0,332
2024-01-28,29.0,285
2024-01-29,36.9,351
2024-01-30,33.7,319
2024-01-31,31.1,314
2024-02-01,34.2,345
2024-02-02,25.6,249
2024-02-03,19.9,199
2024-02-04,19.2,161
2024-02-05,37.5,380
2024-02-06,24.7,267
2024-02-07,18.4,171
2024-02-08,34.5,326
2024-02-09,25.2,274
2024-02-10,23.7,225
2024-02-11,22.7,236
2024-02-12,26.8,256
2024-02-13,21.5,212
2024-02-14,26.2,250
2024-02-15,30.3,322
2024-02-16,30.1,285
2024-02-17,31.3,311
2024-02-18,26.0,259
2024-02-19,29.8,300
2024-02-20,28.6,293
2024-02-21,31.9,313
2024-02-22,36.9,329
2024-02-23,18.9,190
2024-02-24,27.2,246
2024-02-25,22.2,234
2024-02-26,34.6,335
2024-02-27,24.3,233
2024-02-28,36.7,360
2024-02-29,34.1,337
2024-03-01,19.9,187
2024-03-02,18.6,185
2024-03-03,27.0,234
2024-03-04,18.2,141
2024-03-05,26.5,281
2024-03-06,20.9,214
2024-03-07,18.2,184
2024-03-08,22.5,207
2024-03-09,24.2,243
2024-03-10,20.9,210
2024-03-11,28.6,275
2024-03-12,27.5,278
2024-03-13,22.1,229
2024-03-14,21.4,231
2024-03-15,28.2,271
2024-03-16,22.7,195
2024-03-17,18.3,189
2024-03-18,25.2,258
2024-03-19,32.7,340
2024-03-20,28.3,293
2024-03-21,21.3,222
2024-03-22,20.6,185
2024-03-23,18.9,147
2024-03-24,20.5,213
2024-03-25,20.6,224
2024-03-26,21.9,228
2024-03-27,24.3,237
2024-03-28,36.9,360
2024-03-29,36.1,324
2024-03-30,25.7,263
2024-03-31,20.8,177
2024-04-01,19.1,171
2024-04-02,21.1,205
2024-04-03,32.6,315
2024-04-04,31.1,286
2024-04-05,23.9,233
2024-04-06,30.1,293
2024-04-07,33.1,363
2024-04-08,37.5,351
2024-04-09,22.4,230
